Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Closed at,Resolution code,Resolution notes
INC100000,Hardware issue for user 378,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,2 - High,Closed,Service Desk,2026-02-28 04:50:00,2026-02-28 10:18:00,2026-02-28 11:18:00,User education,Password reset performed and user confirmed access restored.
INC100001,Network issue for user 17,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Service Desk,2026-02-19 15:22:00,2026-02-19 18:34:00,2026-02-19 19:34:00,Resolved by IT,
INC100002,Printer issue for user 280,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Database,2026-02-15 23:57:00,2026-02-16 05:18:00,2026-02-16 06:18:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100003,Access issue for user 389,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Network Ops,2026-01-26 07:43:00,2026-01-29 13:17:00,2026-01-29 14:17:00,User education,Password reset performed and user confirmed access restored.
INC100004,Access issue for user 195,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Service Desk,2026-01-26 07:01:00,2026-01-26 15:24:00,2026-01-26 16:24:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100005,Access issue for user 374,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Database,2026-02-24 22:51:00,2026-02-26 03:49:00,2026-02-26 04:49:00,User education,
INC100006,Email issue for user 454,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Windows Platform,2026-03-25 22:47:00,2026-03-25 22:12:00,2026-03-25 23:12:00,User education,
INC100007,Hardware issue for user 396,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,1 - Critical,Closed,Windows Platform,2026-01-07 07:56:00,2026-01-07 09:46:00,2026-01-07 10:46:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100008,Software issue for user 84,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,Windows Platform,2026-03-20 20:51:00,2026-03-21 01:39:00,2026-03-21 02:39:00,Resolved by caller,
INC100009,Printer issue for user 332,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Service Desk,2026-01-25 07:13:00,2026-01-27 19:40:00,2026-01-27 20:40:00,User education,Password reset performed and user confirmed access restored.
INC100010,Printer issue for user 353,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Identity,2026-02-18 14:50:00,2026-02-20 10:08:00,2026-02-20 11:08:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100011,Access issue for user 118,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Service Desk,2026-03-18 17:14:00,2026-03-25 23:00:00,2026-03-26 00:00:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100012,Software issue for user 109,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,End User Compute,2026-01-07 00:35:00,2026-01-07 12:18:00,2026-01-07 13:18:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100013,Hardware issue for user 136,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Network Ops,2026-03-25 05:51:00,2026-03-26 01:40:00,2026-03-26 02:40:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100014,Network issue for user 186,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Network Ops,2026-02-19 01:24:00,2026-02-18 23:39:00,2026-02-19 00:39:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100015,Access issue for user 79,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,End User Compute,2026-01-09 06:35:00,2026-01-11 03:26:00,2026-01-11 04:26:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100016,Network issue for user 271,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Windows Platform,2026-02-08 10:13:00,2026-02-09 00:27:00,2026-02-09 01:27:00,User education,Password reset performed and user confirmed access restored.
INC100017,Access issue for user 350,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Identity,2026-01-02 01:04:00,2026-01-04 03:47:00,2026-01-04 04:47:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100018,Printer issue for user 449,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,2 - High,Closed,End User Compute,2026-01-31 23:07:00,2026-02-01 01:29:00,2026-02-01 02:29:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100019,Access issue for user 446,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,End User Compute,2026-03-11 08:31:00,2026-03-11 15:31:00,2026-03-11 16:31:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100020,Email issue for user 489,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Identity,2026-02-16 05:00:00,2026-02-18 09:15:00,2026-02-18 10:15:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100021,Software issue for user 450,User reports software problem. Error observed at login. Restart attempted without success.,Software,1 - Critical,Closed,Windows Platform,2026-02-14 11:22:00,2026-02-14 16:23:00,2026-02-14 17:23:00,Resolved by IT,
INC100022,Access issue for user 390,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Identity,2026-03-21 22:02:00,2026-03-24 11:03:00,2026-03-24 12:03:00,Resolved by IT,
INC100023,Hardware issue for user 136,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,4 - Low,Closed,Identity,2026-02-13 06:16:00,2026-02-20 07:38:00,2026-02-20 08:38:00,User education,Password reset performed and user confirmed access restored.
INC100024,Printer issue for user 160,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Database,2026-01-20 06:40:00,2026-01-25 07:40:00,2026-01-25 08:40:00,User education,Password reset performed and user confirmed access restored.
INC100025,Network issue for user 62,User reports network problem. Error observed at login. Restart attempted without success.,Network,4 - Low,Closed,Network Ops,2026-02-09 21:02:00,2026-02-10 11:51:00,2026-02-10 12:51:00,Resolved by IT,
INC100026,Access issue for user 363,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,End User Compute,2026-01-02 21:57:00,2026-01-04 09:14:00,2026-01-04 10:14:00,Resolved by IT,
INC100027,Software issue for user 37,User reports software problem. Error observed at login. Restart attempted without success.,Software,1 - Critical,Closed,Identity,2026-03-24 09:55:00,2026-03-24 13:50:00,2026-03-24 14:50:00,Resolved by IT,
INC100028,Email issue for user 296,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,Database,2026-02-14 04:24:00,2026-02-14 15:02:00,2026-02-14 16:02:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100029,Access issue for user 50,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,End User Compute,2026-03-15 12:00:00,2026-03-18 06:48:00,2026-03-18 07:48:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100030,Printer issue for user 51,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Service Desk,2026-02-07 10:03:00,2026-02-08 15:53:00,2026-02-08 16:53:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100031,Hardware issue for user 99,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,4 - Low,Closed,Network Ops,2026-03-14 20:55:00,2026-03-15 14:51:00,2026-03-15 15:51:00,User education,Password reset performed and user confirmed access restored.
INC100032,Access issue for user 227,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Identity,2026-02-08 09:36:00,2026-02-08 08:52:00,2026-02-08 09:52:00,Resolved by IT,
INC100033,Access issue for user 475,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Network Ops,2026-02-19 04:55:00,2026-02-25 10:22:00,2026-02-25 11:22:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100034,Network issue for user 2,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Database,2026-02-13 19:32:00,2026-02-14 00:13:00,2026-02-14 01:13:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100035,Network issue for user 357,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,End User Compute,2026-03-13 11:08:00,2026-03-15 00:37:00,2026-03-15 01:37:00,User education,Password reset performed and user confirmed access restored.
INC100036,Email issue for user 377,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,Identity,2026-02-14 07:08:00,2026-02-14 10:17:00,2026-02-14 11:17:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100037,Network issue for user 258,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Identity,2026-01-06 04:52:00,2026-01-06 18:31:00,2026-01-06 19:31:00,Resolved by IT,
INC100038,Printer issue for user 442,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,2 - High,Closed,Network Ops,2026-02-16 05:22:00,2026-02-16 12:39:00,2026-02-16 13:39:00,Resolved by caller,
INC100039,Email issue for user 305,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Service Desk,2026-03-23 00:51:00,2026-03-25 10:11:00,2026-03-25 11:11:00,User education,
INC100040,Hardware issue for user 343,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,End User Compute,2026-03-01 20:03:00,2026-03-01 09:16:00,2026-03-01 10:16:00,Resolved by caller,
INC100041,Printer issue for user 154,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,2 - High,Closed,Database,2026-02-06 00:36:00,2026-02-06 05:08:00,2026-02-06 06:08:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100042,Access issue for user 38,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Identity,2026-03-27 04:08:00,2026-03-26 22:37:00,2026-03-26 23:37:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100043,Access issue for user 451,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Network Ops,2026-01-13 01:21:00,2026-01-20 13:35:00,2026-01-20 14:35:00,Resolved by caller,
INC100044,Printer issue for user 271,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Service Desk,2026-02-09 21:13:00,2026-02-13 16:12:00,2026-02-13 17:12:00,User education,Password reset performed and user confirmed access restored.
INC100045,Access issue for user 481,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Network Ops,2026-01-28 06:00:00,2026-01-29 11:04:00,2026-01-29 12:04:00,Resolved by caller,
INC100046,Hardware issue for user 368,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Windows Platform,2026-01-10 17:49:00,2026-01-12 12:09:00,2026-01-12 13:09:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100047,Network issue for user 129,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Service Desk,2026-03-19 15:12:00,2026-03-21 13:44:00,2026-03-21 14:44:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100048,Printer issue for user 135,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Network Ops,2026-03-17 11:44:00,2026-03-20 06:17:00,2026-03-20 07:17:00,User education,Password reset performed and user confirmed access restored.
INC100049,Access issue for user 58,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Service Desk,2026-03-06 05:33:00,2026-03-07 15:53:00,2026-03-07 16:53:00,User education,Password reset performed and user confirmed access restored.
INC100050,Network issue for user 66,User reports network problem. Error observed at login. Restart attempted without success.,Network,1 - Critical,Closed,Service Desk,2026-02-19 15:51:00,2026-02-19 17:16:00,2026-02-19 18:16:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100051,Access issue for user 461,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Windows Platform,2026-03-26 22:21:00,2026-04-03 10:21:00,2026-04-03 11:21:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100052,Network issue for user 499,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Identity,2026-03-02 16:56:00,2026-03-02 23:46:00,2026-03-03 00:46:00,User education,
INC100053,Hardware issue for user 500,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,2 - High,Closed,Network Ops,2026-03-26 15:21:00,2026-03-26 14:26:00,2026-03-26 15:26:00,Resolved by caller,
INC100054,Printer issue for user 443,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,End User Compute,2026-03-09 01:02:00,2026-03-14 12:37:00,2026-03-14 13:37:00,Resolved by IT,
INC100055,Network issue for user 447,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Service Desk,2026-03-13 16:02:00,2026-03-14 06:15:00,2026-03-14 07:15:00,Resolved by caller,
INC100056,Hardware issue for user 115,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,4 - Low,Closed,Service Desk,2026-03-16 07:51:00,2026-03-18 04:27:00,2026-03-18 05:27:00,User education,
INC100057,Access issue for user 496,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Windows Platform,2026-01-30 21:05:00,2026-02-02 11:31:00,2026-02-02 12:31:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100058,Access issue for user 60,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Windows Platform,2026-02-06 09:06:00,2026-02-08 04:15:00,2026-02-08 05:15:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100059,Access issue for user 306,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Database,2026-03-31 12:35:00,2026-04-01 07:51:00,2026-04-01 08:51:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100060,Email issue for user 98,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Windows Platform,2026-01-29 13:14:00,2026-01-31 08:18:00,2026-01-31 09:18:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100061,Email issue for user 352,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,End User Compute,2026-01-01 03:41:00,2026-01-02 12:20:00,2026-01-02 13:20:00,User education,Password reset performed and user confirmed access restored.
INC100062,Software issue for user 320,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Windows Platform,2026-01-18 22:25:00,2026-01-21 09:41:00,2026-01-21 10:41:00,User education,Password reset performed and user confirmed access restored.
INC100063,Email issue for user 159,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,End User Compute,2026-03-07 12:19:00,2026-03-14 04:10:00,2026-03-14 05:10:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100064,Network issue for user 347,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,End User Compute,2026-03-05 11:04:00,2026-03-07 10:38:00,2026-03-07 11:38:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100065,Access issue for user 156,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Windows Platform,2026-01-28 09:26:00,2026-01-30 09:24:00,2026-01-30 10:24:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100066,Printer issue for user 110,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Identity,2026-02-22 18:59:00,2026-02-23 19:29:00,2026-02-23 20:29:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100067,Hardware issue for user 338,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,4 - Low,Closed,Service Desk,2026-03-29 08:47:00,2026-04-05 23:35:00,2026-04-06 00:35:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100068,Hardware issue for user 345,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Windows Platform,2026-02-27 14:40:00,2026-03-02 15:40:00,2026-03-02 16:40:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100069,Hardware issue for user 244,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,1 - Critical,Closed,Identity,2026-01-14 09:53:00,2026-01-14 14:51:00,2026-01-14 15:51:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100070,Network issue for user 205,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Network Ops,2026-03-22 15:47:00,2026-03-24 11:31:00,2026-03-24 12:31:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100071,Access issue for user 399,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Database,2026-01-01 12:06:00,2026-01-10 11:11:00,2026-01-10 12:11:00,Resolved by IT,
INC100072,Access issue for user 234,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Network Ops,2026-03-29 04:42:00,2026-03-29 14:23:00,2026-03-29 15:23:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100073,Software issue for user 487,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Database,2026-03-31 22:05:00,2026-04-02 13:05:00,2026-04-02 14:05:00,User education,Password reset performed and user confirmed access restored.
INC100074,Hardware issue for user 381,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Database,2026-03-23 04:38:00,2026-03-25 01:57:00,2026-03-25 02:57:00,Resolved by caller,
INC100075,Software issue for user 393,User reports software problem. Error observed at login. Restart attempted without success.,Software,4 - Low,Closed,Identity,2026-01-23 12:06:00,2026-01-25 07:38:00,2026-01-25 08:38:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100076,Software issue for user 164,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Identity,2026-01-25 23:52:00,2026-01-27 06:16:00,2026-01-27 07:16:00,Resolved by IT,
INC100077,Hardware issue for user 362,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Network Ops,2026-01-22 01:11:00,2026-01-22 21:06:00,2026-01-22 22:06:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100078,Network issue for user 200,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Identity,2026-01-31 02:49:00,2026-02-01 01:08:00,2026-02-01 02:08:00,User education,
INC100079,Network issue for user 245,User reports network problem. Error observed at login. Restart attempted without success.,Network,4 - Low,Closed,Service Desk,2026-03-22 03:49:00,2026-03-28 00:30:00,2026-03-28 01:30:00,Resolved by caller,
INC100080,Printer issue for user 377,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Identity,2026-02-05 11:56:00,2026-02-13 04:35:00,2026-02-13 05:35:00,User education,Password reset performed and user confirmed access restored.
INC100081,Network issue for user 249,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Service Desk,2026-02-14 10:33:00,2026-02-14 15:11:00,2026-02-14 16:11:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100082,Hardware issue for user 319,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,4 - Low,Closed,Identity,2026-03-03 19:36:00,2026-03-07 20:24:00,2026-03-07 21:24:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100083,Access issue for user 43,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,End User Compute,2026-02-23 21:00:00,2026-02-23 18:18:00,2026-02-23 19:18:00,Resolved by caller,
INC100084,Network issue for user 168,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Windows Platform,2026-02-12 00:35:00,2026-02-12 06:00:00,2026-02-12 07:00:00,Resolved by caller,
INC100085,Software issue for user 428,User reports software problem. Error observed at login. Restart attempted without success.,Software,4 - Low,Closed,Service Desk,2026-03-28 13:56:00,2026-04-04 23:15:00,2026-04-05 00:15:00,Resolved by caller,
