Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Closed at,Resolution code,Resolution notes
INC100171,Access issue for user 68,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Service Desk,2026-01-11 00:08:00,2026-01-12 00:57:00,2026-01-12 01:57:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100172,Hardware issue for user 380,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Database,2026-01-22 15:46:00,2026-01-24 16:22:00,2026-01-24 17:22:00,User education,
INC100173,Software issue for user 263,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Identity,2026-01-06 18:50:00,2026-01-08 05:55:00,2026-01-08 06:55:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100174,Printer issue for user 267,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Windows Platform,2026-01-21 03:58:00,2026-01-30 18:44:00,2026-01-30 19:44:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100175,Network issue for user 434,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Database,2026-01-03 20:02:00,2026-01-04 03:08:00,2026-01-04 04:08:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100176,Software issue for user 312,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Network Ops,2026-02-14 15:00:00,2026-02-14 10:02:00,2026-02-14 11:02:00,Resolved by IT,
INC100177,Email issue for user 365,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Windows Platform,2026-02-26 19:50:00,2026-02-28 19:43:00,2026-02-28 20:43:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100178,Printer issue for user 59,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,End User Compute,2026-02-18 07:01:00,2026-02-18 20:15:00,2026-02-18 21:15:00,User education,Password reset performed and user confirmed access restored.
INC100179,Hardware issue for user 221,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Database,2026-02-20 04:24:00,2026-02-21 13:17:00,2026-02-21 14:17:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100180,Network issue for user 161,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,End User Compute,2026-03-17 07:31:00,2026-03-18 09:42:00,2026-03-18 10:42:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100181,Network issue for user 35,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Service Desk,2026-01-14 21:26:00,2026-01-16 11:21:00,2026-01-16 12:21:00,Resolved by IT,
INC100182,Access issue for user 301,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Identity,2026-01-09 18:56:00,2026-01-10 21:28:00,2026-01-10 22:28:00,User education,Password reset performed and user confirmed access restored.
INC100183,Printer issue for user 482,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Database,2026-01-12 03:01:00,2026-01-13 19:53:00,2026-01-13 20:53:00,User education,
INC100184,Hardware issue for user 80,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,End User Compute,2026-01-27 04:20:00,2026-01-27 22:54:00,2026-01-27 23:54:00,Resolved by caller,
INC100185,Email issue for user 189,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Service Desk,2026-01-10 20:24:00,2026-01-13 02:14:00,2026-01-13 03:14:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100186,Email issue for user 315,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,End User Compute,2026-03-15 11:24:00,2026-03-15 14:35:00,2026-03-15 15:35:00,User education,Password reset performed and user confirmed access restored.
INC100187,Printer issue for user 137,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Service Desk,2026-02-25 10:22:00,2026-02-28 13:04:00,2026-02-28 14:04:00,Resolved by IT,
INC100188,Hardware issue for user 290,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,End User Compute,2026-03-11 09:30:00,2026-03-12 17:57:00,2026-03-12 18:57:00,Resolved by caller,
INC100189,Access issue for user 47,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,End User Compute,2026-03-09 10:40:00,2026-03-10 22:03:00,2026-03-10 23:03:00,User education,
INC100190,Software issue for user 398,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Identity,2026-02-08 05:08:00,2026-02-09 23:51:00,2026-02-10 00:51:00,User education,
INC100191,Email issue for user 26,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,End User Compute,2026-01-05 18:55:00,2026-01-06 02:49:00,2026-01-06 03:49:00,Resolved by IT,
INC100192,Hardware issue for user 387,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Identity,2026-03-02 06:01:00,2026-03-03 00:05:00,2026-03-03 01:05:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100193,Printer issue for user 304,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Database,2026-01-11 02:14:00,2026-01-11 23:27:00,2026-01-12 00:27:00,User education,Password reset performed and user confirmed access restored.
INC100194,Hardware issue for user 155,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,2 - High,Closed,Network Ops,2026-01-05 03:12:00,2026-01-05 09:52:00,2026-01-05 10:52:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100195,Access issue for user 255,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,End User Compute,2026-01-27 08:18:00,2026-01-28 17:16:00,2026-01-28 18:16:00,Resolved by caller,
INC100196,Printer issue for user 413,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Windows Platform,2026-02-04 14:34:00,2026-02-06 03:13:00,2026-02-06 04:13:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100197,Access issue for user 236,User reports access problem. Error observed at login. Restart attempted without success.,Access,1 - Critical,Closed,Service Desk,2026-03-09 13:00:00,2026-03-09 17:49:00,2026-03-09 18:49:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100198,Network issue for user 11,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Windows Platform,2026-02-22 04:36:00,2026-02-23 04:05:00,2026-02-23 05:05:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100199,Printer issue for user 471,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Windows Platform,2026-02-26 06:18:00,2026-02-27 03:39:00,2026-02-27 04:39:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100200,Network issue for user 446,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Windows Platform,2026-01-10 15:15:00,2026-01-10 17:32:00,2026-01-10 18:32:00,User education,Password reset performed and user confirmed access restored.
INC100201,Access issue for user 262,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,End User Compute,2026-01-31 07:35:00,2026-02-03 09:48:00,2026-02-03 10:48:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100202,Printer issue for user 418,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Network Ops,2026-01-18 15:35:00,2026-01-20 21:50:00,2026-01-20 22:50:00,Resolved by IT,
INC100203,Email issue for user 79,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,End User Compute,2026-01-24 07:10:00,2026-01-24 16:57:00,2026-01-24 17:57:00,Resolved by IT,
INC100204,Email issue for user 230,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,End User Compute,2026-03-12 08:18:00,2026-03-12 17:48:00,2026-03-12 18:48:00,User education,Password reset performed and user confirmed access restored.
INC100205,Printer issue for user 162,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Network Ops,2026-03-31 19:06:00,2026-04-02 10:15:00,2026-04-02 11:15:00,Resolved by caller,
INC100206,Software issue for user 260,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Service Desk,2026-02-10 06:01:00,2026-02-11 22:59:00,2026-02-11 23:59:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100207,Software issue for user 40,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,End User Compute,2026-01-04 10:09:00,2026-01-04 11:38:00,2026-01-04 12:38:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100208,Printer issue for user 459,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Service Desk,2026-02-16 03:42:00,2026-02-15 19:34:00,2026-02-15 20:34:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100209,Software issue for user 310,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Database,2026-02-22 00:48:00,2026-02-22 11:20:00,2026-02-22 12:20:00,User education,
INC100210,Printer issue for user 44,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Identity,2026-01-06 15:09:00,2026-01-08 14:25:00,2026-01-08 15:25:00,User education,
INC100211,Network issue for user 269,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Identity,2026-01-23 13:12:00,2026-01-23 12:52:00,2026-01-23 13:52:00,User education,
INC100212,Printer issue for user 307,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Service Desk,2026-02-03 22:30:00,2026-02-05 03:56:00,2026-02-05 04:56:00,User education,Password reset performed and user confirmed access restored.
INC100213,Email issue for user 348,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Database,2026-01-06 23:59:00,2026-01-09 07:07:00,2026-01-09 08:07:00,Resolved by caller,
INC100214,Software issue for user 42,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Identity,2026-03-19 12:16:00,2026-03-22 06:19:00,2026-03-22 07:19:00,User education,
INC100215,Printer issue for user 358,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,End User Compute,2026-02-01 20:11:00,2026-02-02 08:07:00,2026-02-02 09:07:00,Resolved by caller,
INC100216,Software issue for user 417,User reports software problem. Error observed at login. Restart attempted without success.,Software,4 - Low,Closed,Network Ops,2026-03-06 12:28:00,2026-03-10 10:10:00,2026-03-10 11:10:00,User education,Password reset performed and user confirmed access restored.
INC100217,Printer issue for user 468,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Identity,2026-03-28 04:59:00,2026-03-30 07:57:00,2026-03-30 08:57:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100218,Hardware issue for user 175,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Database,2026-02-08 12:56:00,2026-02-10 14:55:00,2026-02-10 15:55:00,Resolved by IT,
INC100219,Software issue for user 433,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,Service Desk,2026-01-13 12:30:00,2026-01-13 18:24:00,2026-01-13 19:24:00,User education,Password reset performed and user confirmed access restored.
INC100220,Email issue for user 68,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Identity,2026-03-18 00:20:00,2026-03-18 06:02:00,2026-03-18 07:02:00,Resolved by caller,
INC100221,Email issue for user 415,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,Network Ops,2026-01-17 11:03:00,2026-01-21 16:13:00,2026-01-21 17:13:00,User education,Password reset performed and user confirmed access restored.
INC100222,Email issue for user 146,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,End User Compute,2026-02-07 09:32:00,2026-02-08 09:29:00,2026-02-08 10:29:00,Resolved by caller,
INC100223,Network issue for user 463,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Network Ops,2026-01-22 18:28:00,2026-01-22 02:15:00,2026-01-22 03:15:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100224,Network issue for user 258,User reports network problem. Error observed at login. Restart attempted without success.,Network,4 - Low,Closed,Identity,2026-02-21 22:06:00,2026-02-24 14:36:00,2026-02-24 15:36:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100225,Email issue for user 71,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,Windows Platform,2026-03-16 08:31:00,2026-03-16 14:44:00,2026-03-16 15:44:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100226,Email issue for user 436,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Service Desk,2026-03-21 13:32:00,2026-03-24 02:51:00,2026-03-24 03:51:00,Resolved by caller,
INC100227,Email issue for user 76,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Database,2026-01-15 14:12:00,2026-01-16 11:39:00,2026-01-16 12:39:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100228,Network issue for user 28,User reports network problem. Error observed at login. Restart attempted without success.,Network,4 - Low,Closed,Database,2026-01-21 05:02:00,2026-01-30 22:47:00,2026-01-30 23:47:00,User education,Password reset performed and user confirmed access restored.
INC100229,Software issue for user 115,User reports software problem. Error observed at login. Restart attempted without success.,Software,4 - Low,Closed,Service Desk,2026-02-05 03:35:00,2026-02-05 18:17:00,2026-02-05 19:17:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100230,Access issue for user 147,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Database,2026-03-18 09:12:00,2026-03-19 13:17:00,2026-03-19 14:17:00,User education,Password reset performed and user confirmed access restored.
INC100231,Network issue for user 316,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Service Desk,2026-03-11 01:42:00,2026-03-12 20:34:00,2026-03-12 21:34:00,Resolved by IT,
INC100232,Email issue for user 217,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,Service Desk,2026-01-20 15:06:00,2026-01-21 05:25:00,2026-01-21 06:25:00,Resolved by caller,
INC100233,Network issue for user 328,User reports network problem. Error observed at login. Restart attempted without success.,Network,1 - Critical,Closed,Identity,2026-01-12 02:10:00,2026-01-12 04:11:00,2026-01-12 05:11:00,Resolved by caller,
INC100234,Email issue for user 295,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,Network Ops,2026-03-18 03:46:00,2026-03-22 15:19:00,2026-03-22 16:19:00,User education,
INC100235,Software issue for user 124,User reports software problem. Error observed at login. Restart attempted without success.,Software,1 - Critical,Closed,Identity,2026-02-09 01:41:00,2026-02-09 04:19:00,2026-02-09 05:19:00,Resolved by caller,
INC100236,Email issue for user 279,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,Identity,2026-03-02 19:44:00,2026-03-03 02:30:00,2026-03-03 03:30:00,User education,Password reset performed and user confirmed access restored.
INC100237,Access issue for user 326,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Database,2026-02-05 12:57:00,2026-02-10 06:33:00,2026-02-10 07:33:00,Resolved by caller,
INC100238,Printer issue for user 322,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Service Desk,2026-01-02 11:28:00,2026-01-04 10:03:00,2026-01-04 11:03:00,User education,Password reset performed and user confirmed access restored.
INC100239,Software issue for user 280,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,Windows Platform,2026-01-31 06:23:00,2026-01-31 12:57:00,2026-01-31 13:57:00,User education,
INC100240,Hardware issue for user 416,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Network Ops,2026-03-12 22:03:00,2026-03-15 05:24:00,2026-03-15 06:24:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100241,Software issue for user 104,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Service Desk,2026-03-27 21:20:00,2026-03-29 04:17:00,2026-03-29 05:17:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100242,Email issue for user 243,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,Windows Platform,2026-01-29 17:25:00,2026-01-26 05:54:00,2026-01-26 06:54:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100243,Access issue for user 444,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,End User Compute,2026-01-18 09:28:00,2026-01-19 13:29:00,2026-01-19 14:29:00,Resolved by caller,
INC100244,Network issue for user 174,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Network Ops,2026-03-14 18:11:00,2026-03-17 04:06:00,2026-03-17 05:06:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100245,Email issue for user 137,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,Service Desk,2026-02-03 10:28:00,2026-02-05 09:08:00,2026-02-05 10:08:00,User education,Password reset performed and user confirmed access restored.
INC100246,Software issue for user 53,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Service Desk,2026-02-09 04:40:00,2026-02-11 00:51:00,2026-02-11 01:51:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100247,Printer issue for user 219,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Network Ops,2026-01-28 21:33:00,2026-01-29 09:29:00,2026-01-29 10:29:00,User education,Password reset performed and user confirmed access restored.
INC100248,Network issue for user 141,User reports network problem. Error observed at login. Restart attempted without success.,Network,1 - Critical,Closed,End User Compute,2026-02-10 16:46:00,2026-02-10 20:35:00,2026-02-10 21:35:00,Resolved by IT,
INC100249,Email issue for user 411,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,End User Compute,2026-02-28 00:40:00,2026-02-28 21:13:00,2026-02-28 22:13:00,User education,
INC100250,Access issue for user 65,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Service Desk,2026-01-03 20:01:00,2026-01-03 21:15:00,2026-01-03 22:15:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100251,Email issue for user 17,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Identity,2026-02-03 08:15:00,2026-02-03 20:54:00,2026-02-03 21:54:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100252,Hardware issue for user 272,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Windows Platform,2026-03-28 08:44:00,2026-03-29 11:07:00,2026-03-29 12:07:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100253,Access issue for user 14,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,End User Compute,2026-01-26 08:48:00,2026-01-26 14:50:00,2026-01-26 15:50:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100254,Printer issue for user 229,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Network Ops,2026-02-05 05:23:00,2026-02-13 16:41:00,2026-02-13 17:41:00,User education,
INC100255,Hardware issue for user 63,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,4 - Low,Closed,Network Ops,2026-03-25 10:04:00,2026-04-02 13:55:00,2026-04-02 14:55:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100256,Software issue for user 342,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Windows Platform,2026-03-23 19:11:00,2026-03-26 15:47:00,2026-03-26 16:47:00,User education,
INC100257,Software issue for user 436,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Network Ops,2026-02-19 08:23:00,2026-02-20 17:22:00,2026-02-20 18:22:00,User education,Password reset performed and user confirmed access restored.
INC100258,Access issue for user 103,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Network Ops,2026-03-05 17:39:00,2026-03-07 09:27:00,2026-03-07 10:27:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100259,Email issue for user 189,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Database,2026-01-03 09:25:00,2026-01-03 20:58:00,2026-01-03 21:58:00,User education,
