Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Closed at,Resolution code,Resolution notes
INC100260,Printer issue for user 246,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,2 - High,Closed,Identity,2026-03-22 11:39:00,2026-03-22 12:38:00,2026-03-22 13:38:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100261,Hardware issue for user 498,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Windows Platform,2026-03-16 22:36:00,2026-03-21 06:53:00,2026-03-21 07:53:00,User education,
INC100262,Email issue for user 328,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Identity,2026-02-12 09:37:00,2026-02-12 21:10:00,2026-02-12 22:10:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100263,Access issue for user 426,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Service Desk,2026-01-12 17:52:00,2026-01-15 12:06:00,2026-01-15 13:06:00,User education,
INC100264,Email issue for user 459,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,Windows Platform,2026-01-15 23:41:00,2026-01-16 07:22:00,2026-01-16 08:22:00,Resolved by IT,
INC100265,Software issue for user 65,User reports software problem. Error observed at login. Restart attempted without success.,Software,4 - Low,Closed,End User Compute,2026-02-27 19:18:00,2026-03-03 21:44:00,2026-03-03 22:44:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100266,Hardware issue for user 88,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,End User Compute,2026-01-09 12:05:00,2026-01-11 20:04:00,2026-01-11 21:04:00,User education,Password reset performed and user confirmed access restored.
INC100267,Email issue for user 22,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Service Desk,2026-02-25 01:56:00,2026-02-28 03:26:00,2026-02-28 04:26:00,Resolved by IT,
INC100268,Email issue for user 214,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,Identity,2026-02-28 09:16:00,2026-03-05 02:36:00,2026-03-05 03:36:00,User education,
INC100269,Software issue for user 329,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Windows Platform,2026-03-22 22:02:00,2026-03-24 20:47:00,2026-03-24 21:47:00,Resolved by caller,
INC100270,Access issue for user 81,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Database,2026-03-15 11:40:00,2026-03-16 19:04:00,2026-03-16 20:04:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100271,Hardware issue for user 161,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,End User Compute,2026-01-19 13:41:00,2026-01-21 06:25:00,2026-01-21 07:25:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100272,Email issue for user 288,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Service Desk,2026-03-20 08:23:00,2026-03-20 15:52:00,2026-03-20 16:52:00,Resolved by caller,
INC100273,Hardware issue for user 73,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Service Desk,2026-01-12 03:39:00,2026-01-14 08:32:00,2026-01-14 09:32:00,Resolved by IT,
INC100274,Hardware issue for user 417,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,4 - Low,Closed,Windows Platform,2026-02-04 23:11:00,2026-02-03 14:45:00,2026-02-03 15:45:00,User education,Password reset performed and user confirmed access restored.
INC100275,Network issue for user 264,User reports network problem. Error observed at login. Restart attempted without success.,Network,4 - Low,Closed,Database,2026-01-18 06:41:00,2026-01-26 17:04:00,2026-01-26 18:04:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100276,Hardware issue for user 111,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,1 - Critical,Closed,Identity,2026-02-15 06:31:00,2026-02-15 11:06:00,2026-02-15 12:06:00,Resolved by caller,
INC100277,Printer issue for user 345,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Database,2026-01-26 14:37:00,2026-01-27 16:31:00,2026-01-27 17:31:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100278,Software issue for user 392,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,Database,2026-03-19 02:40:00,2026-03-19 09:56:00,2026-03-19 10:56:00,Resolved by caller,
INC100279,Hardware issue for user 186,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Identity,2026-01-05 15:45:00,2026-01-07 12:34:00,2026-01-07 13:34:00,Resolved by caller,
INC100280,Email issue for user 349,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Identity,2026-02-15 21:33:00,2026-02-15 21:02:00,2026-02-15 22:02:00,Resolved by IT,
INC100281,Software issue for user 286,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Windows Platform,2026-01-09 19:12:00,2026-01-10 17:44:00,2026-01-10 18:44:00,Resolved by IT,
INC100282,Printer issue for user 171,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Database,2026-02-16 08:11:00,2026-02-17 23:01:00,2026-02-18 00:01:00,User education,Password reset performed and user confirmed access restored.
INC100283,Hardware issue for user 168,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,4 - Low,Closed,Identity,2026-02-25 04:23:00,2026-03-02 06:43:00,2026-03-02 07:43:00,Resolved by caller,
INC100284,Email issue for user 273,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Database,2026-02-26 02:45:00,2026-02-27 07:03:00,2026-02-27 08:03:00,User education,Password reset performed and user confirmed access restored.
INC100285,Software issue for user 170,User reports software problem. Error observed at login. Restart attempted without success.,Software,4 - Low,Closed,End User Compute,2026-02-13 05:25:00,2026-02-20 12:58:00,2026-02-20 13:58:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100286,Printer issue for user 14,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Identity,2026-02-23 03:07:00,2026-02-25 20:02:00,2026-02-25 21:02:00,Resolved by caller,
INC100287,Email issue for user 296,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,Network Ops,2026-03-01 16:09:00,2026-03-03 04:47:00,2026-03-03 05:47:00,User education,
INC100288,Network issue for user 76,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,End User Compute,2026-02-13 17:33:00,2026-02-13 20:05:00,2026-02-13 21:05:00,Resolved by IT,
INC100289,Hardware issue for user 10,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Database,2026-03-28 07:23:00,2026-03-28 21:37:00,2026-03-28 22:37:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100290,Network issue for user 447,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,End User Compute,2026-02-07 14:07:00,2026-02-07 19:40:00,2026-02-07 20:40:00,User education,
INC100291,Email issue for user 167,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,End User Compute,2026-01-13 13:38:00,2026-01-15 16:56:00,2026-01-15 17:56:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100292,Email issue for user 182,User reports email problem. Error observed at login. Restart attempted without success.,Email,4 - Low,Closed,End User Compute,2026-01-29 13:24:00,2026-01-31 02:42:00,2026-01-31 03:42:00,User education,Password reset performed and user confirmed access restored.
INC100293,Email issue for user 248,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Network Ops,2026-03-15 03:36:00,2026-03-16 19:08:00,2026-03-16 20:08:00,Resolved by IT,
INC100294,Software issue for user 361,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,Network Ops,2026-01-28 04:04:00,2026-01-28 12:19:00,2026-01-28 13:19:00,User education,Password reset performed and user confirmed access restored.
INC100295,Email issue for user 479,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,End User Compute,2026-01-29 20:35:00,2026-01-31 03:26:00,2026-01-31 04:26:00,Resolved by caller,
INC100296,Software issue for user 489,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Network Ops,2026-02-22 04:46:00,2026-02-21 23:15:00,2026-02-22 00:15:00,Resolved by caller,
INC100297,Software issue for user 474,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Database,2026-03-28 22:54:00,2026-03-31 21:22:00,2026-03-31 22:22:00,User education,
INC100298,Email issue for user 357,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,Windows Platform,2026-02-13 14:33:00,2026-02-13 21:20:00,2026-02-13 22:20:00,Resolved by IT,
INC100299,Hardware issue for user 26,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,End User Compute,2026-03-09 10:30:00,2026-03-10 06:37:00,2026-03-10 07:37:00,User education,
INC100300,Access issue for user 349,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Network Ops,2026-01-22 04:38:00,2026-01-22 05:52:00,2026-01-22 06:52:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100301,Network issue for user 335,User reports network problem. Error observed at login. Restart attempted without success.,Network,4 - Low,Closed,Database,2026-03-31 00:16:00,2026-04-07 05:13:00,2026-04-07 06:13:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100302,Access issue for user 334,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Identity,2026-03-10 19:18:00,2026-03-13 23:01:00,2026-03-14 00:01:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100303,Access issue for user 468,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Network Ops,2026-03-07 19:40:00,2026-03-16 08:34:00,2026-03-16 09:34:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100304,Network issue for user 96,User reports network problem. Error observed at login. Restart attempted without success.,Network,4 - Low,Closed,End User Compute,2026-01-17 00:00:00,2026-01-27 02:06:00,2026-01-27 03:06:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100305,Email issue for user 55,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Windows Platform,2026-01-01 20:14:00,2026-01-03 14:06:00,2026-01-03 15:06:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100306,Email issue for user 240,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Windows Platform,2026-02-28 08:58:00,2026-02-27 21:15:00,2026-02-27 22:15:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100307,Network issue for user 332,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Windows Platform,2026-01-31 02:23:00,2026-01-31 08:16:00,2026-01-31 09:16:00,User education,
INC100308,Hardware issue for user 90,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Identity,2026-03-09 01:09:00,2026-03-10 02:43:00,2026-03-10 03:43:00,User education,Password reset performed and user confirmed access restored.
INC100309,Software issue for user 45,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Database,2026-03-17 06:35:00,2026-03-19 19:48:00,2026-03-19 20:48:00,User education,
INC100310,Software issue for user 197,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,Network Ops,2026-03-31 08:31:00,2026-03-31 13:02:00,2026-03-31 14:02:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100311,Email issue for user 371,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Identity,2026-03-28 20:07:00,2026-03-30 18:41:00,2026-03-30 19:41:00,Resolved by IT,
INC100312,Software issue for user 82,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Database,2026-02-02 17:27:00,2026-02-04 11:57:00,2026-02-04 12:57:00,User education,Password reset performed and user confirmed access restored.
INC100313,Software issue for user 354,User reports software problem. Error observed at login. Restart attempted without success.,Software,4 - Low,Closed,Service Desk,2026-03-23 11:24:00,2026-03-28 21:49:00,2026-03-28 22:49:00,User education,Password reset performed and user confirmed access restored.
INC100314,Network issue for user 79,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Database,2026-01-27 20:31:00,2026-01-29 14:54:00,2026-01-29 15:54:00,User education,Password reset performed and user confirmed access restored.
INC100315,Email issue for user 468,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Database,2026-02-04 00:11:00,2026-02-07 09:12:00,2026-02-07 10:12:00,User education,Password reset performed and user confirmed access restored.
INC100316,Access issue for user 270,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Database,2026-03-17 03:33:00,2026-03-17 09:14:00,2026-03-17 10:14:00,User education,Password reset performed and user confirmed access restored.
INC100317,Access issue for user 32,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Identity,2026-01-08 02:37:00,2026-01-17 16:52:00,2026-01-17 17:52:00,User education,
INC100318,Access issue for user 349,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Network Ops,2026-02-18 20:21:00,2026-02-19 00:07:00,2026-02-19 01:07:00,User education,Password reset performed and user confirmed access restored.
INC100319,Network issue for user 415,User reports network problem. Error observed at login. Restart attempted without success.,Network,4 - Low,Closed,Service Desk,2026-01-09 06:39:00,2026-01-17 04:05:00,2026-01-17 05:05:00,Resolved by caller,
INC100320,Software issue for user 371,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Service Desk,2026-02-07 19:30:00,2026-02-10 01:05:00,2026-02-10 02:05:00,Resolved by caller,
INC100321,Email issue for user 38,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Service Desk,2026-01-01 06:35:00,2026-01-02 23:46:00,2026-01-03 00:46:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100322,Network issue for user 17,User reports network problem. Error observed at login. Restart attempted without success.,Network,3 - Moderate,Closed,Windows Platform,2026-01-06 19:17:00,2026-01-09 18:41:00,2026-01-09 19:41:00,Resolved by caller,
INC100323,Printer issue for user 331,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Database,2026-01-13 07:50:00,2026-01-20 10:04:00,2026-01-20 11:04:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100324,Access issue for user 350,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,End User Compute,2026-02-04 19:32:00,2026-02-06 21:20:00,2026-02-06 22:20:00,User education,
INC100325,Hardware issue for user 276,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Database,2026-03-20 07:19:00,2026-03-21 07:36:00,2026-03-21 08:36:00,User education,
INC100326,Software issue for user 238,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,End User Compute,2026-03-31 02:03:00,2026-03-31 08:20:00,2026-03-31 09:20:00,User education,Password reset performed and user confirmed access restored.
INC100327,Hardware issue for user 127,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Database,2026-02-18 10:01:00,2026-02-19 19:42:00,2026-02-19 20:42:00,Resolved by caller,
INC100328,Printer issue for user 215,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Identity,2026-01-18 03:44:00,2026-01-22 20:11:00,2026-01-22 21:11:00,Resolved by IT,
INC100329,Access issue for user 229,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Identity,2026-01-07 02:59:00,2026-01-07 07:02:00,2026-01-07 08:02:00,User education,Password reset performed and user confirmed access restored.
INC100330,Email issue for user 112,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,Service Desk,2026-01-05 10:20:00,2026-01-05 19:14:00,2026-01-05 20:14:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100331,Printer issue for user 295,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,2 - High,Closed,Windows Platform,2026-01-27 07:54:00,2026-01-27 14:26:00,2026-01-27 15:26:00,User education,Password reset performed and user confirmed access restored.
INC100332,Printer issue for user 267,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,4 - Low,Closed,Network Ops,2026-03-03 05:10:00,2026-03-08 14:03:00,2026-03-08 15:03:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100333,Email issue for user 451,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,End User Compute,2026-01-06 13:09:00,2026-01-09 13:52:00,2026-01-09 14:52:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100334,Printer issue for user 344,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Database,2026-02-08 21:14:00,2026-02-10 23:43:00,2026-02-11 00:43:00,User education,Password reset performed and user confirmed access restored.
INC100335,Software issue for user 193,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Network Ops,2026-02-07 21:28:00,2026-02-09 12:11:00,2026-02-09 13:11:00,User education,Password reset performed and user confirmed access restored.
INC100336,Network issue for user 469,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Service Desk,2026-03-19 07:24:00,2026-03-19 14:07:00,2026-03-19 15:07:00,User education,Password reset performed and user confirmed access restored.
INC100337,Hardware issue for user 199,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Network Ops,2026-02-07 21:52:00,2026-02-08 23:06:00,2026-02-09 00:06:00,Resolved by caller,
INC100338,Email issue for user 371,User reports email problem. Error observed at login. Restart attempted without success.,Email,2 - High,Closed,Network Ops,2026-02-28 20:45:00,2026-02-28 23:25:00,2026-03-01 00:25:00,Resolved by IT,
INC100339,Access issue for user 448,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Service Desk,2026-03-03 07:39:00,2026-03-04 22:59:00,2026-03-04 23:59:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100340,Software issue for user 156,User reports software problem. Error observed at login. Restart attempted without success.,Software,3 - Moderate,Closed,Service Desk,2026-02-23 11:35:00,2026-02-24 00:43:00,2026-02-24 01:43:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100341,Printer issue for user 387,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Database,2026-03-29 13:41:00,2026-03-30 15:21:00,2026-03-30 16:21:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100342,Software issue for user 195,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,Database,2026-03-06 01:24:00,2026-03-06 10:29:00,2026-03-06 11:29:00,User education,Password reset performed and user confirmed access restored.
INC100343,Email issue for user 452,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Database,2026-01-29 01:45:00,2026-01-29 22:58:00,2026-01-29 23:58:00,Resolved by caller,
INC100344,Hardware issue for user 190,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Windows Platform,2026-03-31 07:43:00,2026-04-01 18:32:00,2026-04-01 19:32:00,Resolved by caller,
INC100345,Hardware issue for user 9,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,2 - High,Closed,Windows Platform,2026-03-20 15:37:00,2026-03-20 18:24:00,2026-03-20 19:24:00,User education,Password reset performed and user confirmed access restored.
INC100346,Hardware issue for user 195,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Identity,2026-02-22 17:09:00,2026-02-23 23:11:00,2026-02-24 00:11:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100347,Software issue for user 132,User reports software problem. Error observed at login. Restart attempted without success.,Software,4 - Low,Closed,Database,2026-03-01 14:00:00,2026-03-08 06:14:00,2026-03-08 07:14:00,User education,Password reset performed and user confirmed access restored.
INC100348,Hardware issue for user 369,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,3 - Moderate,Closed,Identity,2026-02-14 15:43:00,2026-02-15 23:23:00,2026-02-16 00:23:00,Resolved by caller,
INC100349,Printer issue for user 491,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Service Desk,2026-03-22 22:50:00,2026-03-23 14:38:00,2026-03-23 15:38:00,User education,
